BroodYear,SKY.Indicator.Unmarked.ER,SKY.Indicator.Marked.ER
2001,0.424585957,0.424585957
2002,0.387065637,0.393829401
2003,0.346704346,0.35483871
2004,0.329921685,0.347113329
2005,0.229276509,0.265372168
2006,0.15559804,0.217741935
2007,0.302279287,0.305764411
2008,0.31308947,0.351724138
2009,0.324933785,0.343030303
2010,0.323605636,0.372781065
2011,0.371715736,0.396674584
2012,0.340048608,0.406032483
2013,0.253764233,0.296364473
2014,0.251252243,0.279279279
2015,0.122030092,0.178343949
2016,0.241760839,0.264857881
2017,0.195135488,0.240464345
