ReturnYear,Total Fish,Age2.Fingerling,Age3.Fingerling,Age4.Fingerling,Age5.Fingerling
2006,4481,529,1991,1836,124
2007,6320,24,2516,3756,24
2008,3420,1,1950,1426,45
2009,2133,5,202,1907,19
2010,3741,1,2315,1282,144
2011,5359,1,99,5223,37
2012,478,3,105,264,102
2013,1619,18,582,988,30
2014,1686,15,433,1144,94
2015,3346,230,717,2240,160
2016,6452,324,2427,3297,394
2017,11330,175,6314,4542,288
2018,10021,62,3326,6492,142
2019,9644,90,2997,6386,170
2020,3948,43,185,3577,142
2021,2962,149,1682,979,152
2022,4927,22,2274,2610,22
2023,4532,36,887,3232,377
2024,6569,53,2421,3961,134
